route,penalty,base_score,base_class,low_score,low_class,high_score,high_class,stable
J1 Route 1,interchange_base,9.6,HIGH,9.5,HIGH,9.7,HIGH,True
J1 Route 2,interchange_base,4.4,MEDIUM,4.2,MEDIUM,4.6,MEDIUM,True
J1 Route 3,interchange_base,4.8,MEDIUM,4.6,MEDIUM,5.0,MEDIUM,True
J2 Route 1,interchange_base,3.2,LOW,3.1,LOW,3.3,LOW,True
J2 Route 2,interchange_base,8.8,HIGH,8.7,HIGH,8.9,HIGH,True
J2 Route 3,interchange_base,5.2,MEDIUM,5.0,MEDIUM,5.4,MEDIUM,True
J3 Route 1,interchange_base,3.6,LOW,3.4,LOW,3.8,LOW,True
J3 Route 2,interchange_base,3.2,LOW,3.1,LOW,3.3,LOW,True
J3 Route 3,interchange_base,1.2,LOW,1.1,LOW,1.3,LOW,True
J4 Route 1,interchange_base,2.4,LOW,2.3,LOW,2.5,LOW,True
J4 Route 2,interchange_base,3.2,LOW,3.1,LOW,3.3,LOW,True
J4 Route 3,interchange_base,3.2,LOW,3.1,LOW,3.3,LOW,True
J1 Route 1,complexity_high,9.6,HIGH,9.3,HIGH,9.9,HIGH,True
J1 Route 2,complexity_high,4.4,MEDIUM,4.4,MEDIUM,4.4,MEDIUM,True
J1 Route 3,complexity_high,4.8,MEDIUM,4.5,MEDIUM,5.1,MEDIUM,True
J2 Route 1,complexity_high,3.2,LOW,2.9,LOW,3.5,LOW,True
J2 Route 2,complexity_high,8.8,HIGH,8.5,HIGH,9.1,HIGH,True
J2 Route 3,complexity_high,5.2,MEDIUM,4.9,MEDIUM,5.5,MEDIUM,True
J3 Route 1,complexity_high,3.6,LOW,3.6,LOW,3.6,LOW,True
J3 Route 2,complexity_high,3.2,LOW,2.9,LOW,3.5,LOW,True
J3 Route 3,complexity_high,1.2,LOW,1.2,LOW,1.2,LOW,True
J4 Route 1,complexity_high,2.4,LOW,2.4,LOW,2.4,LOW,True
J4 Route 2,complexity_high,3.2,LOW,2.9,LOW,3.5,LOW,True
J4 Route 3,complexity_high,3.2,LOW,2.9,LOW,3.5,LOW,True
J1 Route 1,complexity_medium,9.6,HIGH,9.6,HIGH,9.6,HIGH,True
J1 Route 2,complexity_medium,4.4,MEDIUM,4.1,MEDIUM,4.7,MEDIUM,True
J1 Route 3,complexity_medium,4.8,MEDIUM,4.8,MEDIUM,4.8,MEDIUM,True
J2 Route 1,complexity_medium,3.2,LOW,3.2,LOW,3.2,LOW,True
J2 Route 2,complexity_medium,8.8,HIGH,8.8,HIGH,8.8,HIGH,True
J2 Route 3,complexity_medium,5.2,MEDIUM,5.0,MEDIUM,5.4,MEDIUM,True
J3 Route 1,complexity_medium,3.6,LOW,3.3,LOW,3.9,LOW,True
J3 Route 2,complexity_medium,3.2,LOW,3.2,LOW,3.2,LOW,True
J3 Route 3,complexity_medium,1.2,LOW,1.2,LOW,1.2,LOW,True
J4 Route 1,complexity_medium,2.4,LOW,2.2,LOW,2.6,LOW,True
J4 Route 2,complexity_medium,3.2,LOW,3.2,LOW,3.2,LOW,True
J4 Route 3,complexity_medium,3.2,LOW,3.2,LOW,3.2,LOW,True
J1 Route 1,complexity_low,9.6,HIGH,9.6,HIGH,9.6,HIGH,True
J1 Route 2,complexity_low,4.4,MEDIUM,4.4,MEDIUM,4.4,MEDIUM,True
J1 Route 3,complexity_low,4.8,MEDIUM,4.7,MEDIUM,4.9,MEDIUM,True
J2 Route 1,complexity_low,3.2,LOW,3.2,LOW,3.2,LOW,True
J2 Route 2,complexity_low,8.8,HIGH,8.8,HIGH,8.8,HIGH,True
J2 Route 3,complexity_low,5.2,MEDIUM,5.2,MEDIUM,5.2,MEDIUM,True
J3 Route 1,complexity_low,3.6,LOW,3.6,LOW,3.6,LOW,True
J3 Route 2,complexity_low,3.2,LOW,3.2,LOW,3.2,LOW,True
J3 Route 3,complexity_low,1.2,LOW,1.1,LOW,1.3,LOW,True
J4 Route 1,complexity_low,2.4,LOW,2.4,LOW,2.4,LOW,True
J4 Route 2,complexity_low,3.2,LOW,3.2,LOW,3.2,LOW,True
J4 Route 3,complexity_low,3.2,LOW,3.2,LOW,3.2,LOW,True
J1 Route 1,lift_high,9.6,HIGH,9.2,HIGH,10.0,HIGH,True
J1 Route 2,lift_high,4.4,MEDIUM,4.0,MEDIUM,4.8,MEDIUM,True
J1 Route 3,lift_high,4.8,MEDIUM,4.4,MEDIUM,5.2,MEDIUM,True
J2 Route 1,lift_high,3.2,LOW,3.2,LOW,3.2,LOW,True
J2 Route 2,lift_high,8.8,HIGH,8.8,HIGH,8.8,HIGH,True
J2 Route 3,lift_high,5.2,MEDIUM,4.8,MEDIUM,5.6,MEDIUM,True
J3 Route 1,lift_high,3.6,LOW,3.6,LOW,3.6,LOW,True
J3 Route 2,lift_high,3.2,LOW,3.2,LOW,3.2,LOW,True
J3 Route 3,lift_high,1.2,LOW,1.2,LOW,1.2,LOW,True
J4 Route 1,lift_high,2.4,LOW,2.4,LOW,2.4,LOW,True
J4 Route 2,lift_high,3.2,LOW,3.2,LOW,3.2,LOW,True
J4 Route 3,lift_high,3.2,LOW,3.2,LOW,3.2,LOW,True
J1 Route 1,lift_moderate,9.6,HIGH,9.6,HIGH,9.6,HIGH,True
J1 Route 2,lift_moderate,4.4,MEDIUM,4.4,MEDIUM,4.4,MEDIUM,True
J1 Route 3,lift_moderate,4.8,MEDIUM,4.8,MEDIUM,4.8,MEDIUM,True
J2 Route 1,lift_moderate,3.2,LOW,3.0,LOW,3.4,LOW,True
J2 Route 2,lift_moderate,8.8,HIGH,8.6,HIGH,9.0,HIGH,True
J2 Route 3,lift_moderate,5.2,MEDIUM,5.2,MEDIUM,5.2,MEDIUM,True
J3 Route 1,lift_moderate,3.6,LOW,3.4,LOW,3.8,LOW,True
J3 Route 2,lift_moderate,3.2,LOW,3.0,LOW,3.4,LOW,True
J3 Route 3,lift_moderate,1.2,LOW,1.2,LOW,1.2,LOW,True
J4 Route 1,lift_moderate,2.4,LOW,2.2,LOW,2.6,LOW,True
J4 Route 2,lift_moderate,3.2,LOW,3.0,LOW,3.4,LOW,True
J4 Route 3,lift_moderate,3.2,LOW,3.0,LOW,3.4,LOW,True
J1 Route 1,lift_low,9.6,HIGH,9.6,HIGH,9.6,HIGH,True
J1 Route 2,lift_low,4.4,MEDIUM,4.4,MEDIUM,4.4,MEDIUM,True
J1 Route 3,lift_low,4.8,MEDIUM,4.8,MEDIUM,4.8,MEDIUM,True
J2 Route 1,lift_low,3.2,LOW,3.2,LOW,3.2,LOW,True
J2 Route 2,lift_low,8.8,HIGH,8.8,HIGH,8.8,HIGH,True
J2 Route 3,lift_low,5.2,MEDIUM,5.2,MEDIUM,5.2,MEDIUM,True
J3 Route 1,lift_low,3.6,LOW,3.6,LOW,3.6,LOW,True
J3 Route 2,lift_low,3.2,LOW,3.2,LOW,3.2,LOW,True
J3 Route 3,lift_low,1.2,LOW,1.1,LOW,1.3,LOW,True
J4 Route 1,lift_low,2.4,LOW,2.4,LOW,2.4,LOW,True
J4 Route 2,lift_low,3.2,LOW,3.2,LOW,3.2,LOW,True
J4 Route 3,lift_low,3.2,LOW,3.2,LOW,3.2,LOW,True
J1 Route 1,destination_penalty,9.6,HIGH,8.5,HIGH,10,HIGH,True
J1 Route 2,destination_penalty,4.4,MEDIUM,4.4,MEDIUM,4.4,MEDIUM,True
J1 Route 3,destination_penalty,4.8,MEDIUM,4.8,MEDIUM,4.8,MEDIUM,True
J2 Route 1,destination_penalty,3.2,LOW,3.2,LOW,3.2,LOW,True
J2 Route 2,destination_penalty,8.8,HIGH,7.7,HIGH,9.9,HIGH,True
J2 Route 3,destination_penalty,5.2,MEDIUM,5.2,MEDIUM,5.2,MEDIUM,True
J3 Route 1,destination_penalty,3.6,LOW,3.6,LOW,3.6,LOW,True
J3 Route 2,destination_penalty,3.2,LOW,3.2,LOW,3.2,LOW,True
J3 Route 3,destination_penalty,1.2,LOW,1.2,LOW,1.2,LOW,True
J4 Route 1,destination_penalty,2.4,LOW,2.4,LOW,2.4,LOW,True
J4 Route 2,destination_penalty,3.2,LOW,3.2,LOW,3.2,LOW,True
J4 Route 3,destination_penalty,3.2,LOW,3.2,LOW,3.2,LOW,True
